description,proteins,fats,carbohydrates,calories,answer
butter salted,0.85,81.11,0.06,717.0,"{""proteins"": 0.85, ""fats"": 81.11, ""carbohydrates"": 0.06, ""calories"": 717.0}"
butter whipped with salt,0.49,78.3,2.87,718.0,"{""proteins"": 0.49, ""fats"": 78.3, ""carbohydrates"": 2.87, ""calories"": 718.0}"
butter oil anhydrous,0.28,99.48,0.0,876.0,"{""proteins"": 0.28, ""fats"": 99.48, ""carbohydrates"": 0.0, ""calories"": 876.0}"
cheese blue,21.4,28.74,2.34,353.0,"{""proteins"": 21.4, ""fats"": 28.74, ""carbohydrates"": 2.34, ""calories"": 353.0}"
cheese brick,23.24,29.68,2.79,371.0,"{""proteins"": 23.24, ""fats"": 29.68, ""carbohydrates"": 2.79, ""calories"": 371.0}"
cheese brie,20.75,27.68,0.45,334.0,"{""proteins"": 20.75, ""fats"": 27.68, ""carbohydrates"": 0.45, ""calories"": 334.0}"
cheese camembert,19.8,24.26,0.46,300.0,"{""proteins"": 19.8, ""fats"": 24.26, ""carbohydrates"": 0.46, ""calories"": 300.0}"
cheese caraway,25.18,29.2,3.06,376.0,"{""proteins"": 25.18, ""fats"": 29.2, ""carbohydrates"": 3.06, ""calories"": 376.0}"
cheese cheddar,22.87,33.31,3.09,404.0,"{""proteins"": 22.87, ""fats"": 33.31, ""carbohydrates"": 3.09, ""calories"": 404.0}"
cheese cheshire,23.37,30.6,4.78,387.0,"{""proteins"": 23.37, ""fats"": 30.6, ""carbohydrates"": 4.78, ""calories"": 387.0}"
cheese colby,23.76,32.11,2.57,394.0,"{""proteins"": 23.76, ""fats"": 32.11, ""carbohydrates"": 2.57, ""calories"": 394.0}"
cheese cottage creamed large or small curd,11.12,4.3,3.38,98.0,"{""proteins"": 11.12, ""fats"": 4.3, ""carbohydrates"": 3.38, ""calories"": 98.0}"
cheese cottage creamed with fruit,10.69,3.85,4.61,97.0,"{""proteins"": 10.69, ""fats"": 3.85, ""carbohydrates"": 4.61, ""calories"": 97.0}"
cheese cottage nonfat uncreamed dry large or small curd,10.34,0.29,6.66,72.0,"{""proteins"": 10.34, ""fats"": 0.29, ""carbohydrates"": 6.66, ""calories"": 72.0}"
cheese cottage lowfat 2% milkfat,10.45,2.27,4.76,81.0,"{""proteins"": 10.45, ""fats"": 2.27, ""carbohydrates"": 4.76, ""calories"": 81.0}"
cheese cottage lowfat 1% milkfat,12.39,1.02,2.72,72.0,"{""proteins"": 12.39, ""fats"": 1.02, ""carbohydrates"": 2.72, ""calories"": 72.0}"
cheese cream,6.15,34.44,5.52,350.0,"{""proteins"": 6.15, ""fats"": 34.44, ""carbohydrates"": 5.52, ""calories"": 350.0}"
cheese edam,24.99,27.8,1.43,357.0,"{""proteins"": 24.99, ""fats"": 27.8, ""carbohydrates"": 1.43, ""calories"": 357.0}"
cheese feta,14.21,21.28,4.09,264.0,"{""proteins"": 14.21, ""fats"": 21.28, ""carbohydrates"": 4.09, ""calories"": 264.0}"
cheese fontina,25.6,31.14,1.55,389.0,"{""proteins"": 25.6, ""fats"": 31.14, ""carbohydrates"": 1.55, ""calories"": 389.0}"
cheese gjetost,9.65,29.51,42.65,466.0,"{""proteins"": 9.65, ""fats"": 29.51, ""carbohydrates"": 42.65, ""calories"": 466.0}"
cheese gouda,24.94,27.44,2.22,356.0,"{""proteins"": 24.94, ""fats"": 27.44, ""carbohydrates"": 2.22, ""calories"": 356.0}"
cheese gruyere,29.81,32.34,0.36,413.0,"{""proteins"": 29.81, ""fats"": 32.34, ""carbohydrates"": 0.36, ""calories"": 413.0}"
cheese limburger,20.05,27.25,0.49,327.0,"{""proteins"": 20.05, ""fats"": 27.25, ""carbohydrates"": 0.49, ""calories"": 327.0}"
cheese monterey,24.48,30.28,0.68,373.0,"{""proteins"": 24.48, ""fats"": 30.28, ""carbohydrates"": 0.68, ""calories"": 373.0}"
cheese mozzarella whole milk,22.17,22.35,2.19,300.0,"{""proteins"": 22.17, ""fats"": 22.35, ""carbohydrates"": 2.19, ""calories"": 300.0}"
cheese mozzarella whole milk low moisture,21.6,24.64,2.47,318.0,"{""proteins"": 21.6, ""fats"": 24.64, ""carbohydrates"": 2.47, ""calories"": 318.0}"
cheese mozzarella part skim milk,24.26,15.92,2.77,254.0,"{""proteins"": 24.26, ""fats"": 15.92, ""carbohydrates"": 2.77, ""calories"": 254.0}"
cheese mozzarella low moisture part-skim,23.75,19.78,5.58,295.0,"{""proteins"": 23.75, ""fats"": 19.78, ""carbohydrates"": 5.58, ""calories"": 295.0}"
cheese muenster,23.41,30.04,1.12,368.0,"{""proteins"": 23.41, ""fats"": 30.04, ""carbohydrates"": 1.12, ""calories"": 368.0}"
cheese neufchatel,9.15,22.78,3.59,253.0,"{""proteins"": 9.15, ""fats"": 22.78, ""carbohydrates"": 3.59, ""calories"": 253.0}"
cheese parmesan grated,28.42,27.84,13.91,420.0,"{""proteins"": 28.42, ""fats"": 27.84, ""carbohydrates"": 13.91, ""calories"": 420.0}"
cheese parmesan hard,35.75,25.83,3.22,392.0,"{""proteins"": 35.75, ""fats"": 25.83, ""carbohydrates"": 3.22, ""calories"": 392.0}"
cheese port de salut,23.78,28.2,0.57,352.0,"{""proteins"": 23.78, ""fats"": 28.2, ""carbohydrates"": 0.57, ""calories"": 352.0}"
cheese provolone,25.58,26.62,2.14,351.0,"{""proteins"": 25.58, ""fats"": 26.62, ""carbohydrates"": 2.14, ""calories"": 351.0}"
cheese ricotta whole milk,11.26,12.98,3.04,174.0,"{""proteins"": 11.26, ""fats"": 12.98, ""carbohydrates"": 3.04, ""calories"": 174.0}"
cheese ricotta part skim milk,11.39,7.91,5.14,138.0,"{""proteins"": 11.39, ""fats"": 7.91, ""carbohydrates"": 5.14, ""calories"": 138.0}"
cheese romano,31.8,26.94,3.63,387.0,"{""proteins"": 31.8, ""fats"": 26.94, ""carbohydrates"": 3.63, ""calories"": 387.0}"
cheese roquefort,21.54,30.64,2.0,369.0,"{""proteins"": 21.54, ""fats"": 30.64, ""carbohydrates"": 2.0, ""calories"": 369.0}"
cheese swiss,26.96,30.99,1.44,393.0,"{""proteins"": 26.96, ""fats"": 30.99, ""carbohydrates"": 1.44, ""calories"": 393.0}"
cheese tilsit,24.41,25.98,1.88,340.0,"{""proteins"": 24.41, ""fats"": 25.98, ""carbohydrates"": 1.88, ""calories"": 340.0}"
cheese pasteurized process american fortified with vitamin d,18.13,30.71,4.78,366.0,"{""proteins"": 18.13, ""fats"": 30.71, ""carbohydrates"": 4.78, ""calories"": 366.0}"
cheese pasteurized process pimento,22.13,31.2,1.73,375.0,"{""proteins"": 22.13, ""fats"": 31.2, ""carbohydrates"": 1.73, ""calories"": 375.0}"
cheese pasteurized process swiss,24.73,25.01,2.1,334.0,"{""proteins"": 24.73, ""fats"": 25.01, ""carbohydrates"": 2.1, ""calories"": 334.0}"
cheese food cold pack american,19.66,24.46,8.32,331.0,"{""proteins"": 19.66, ""fats"": 24.46, ""carbohydrates"": 8.32, ""calories"": 331.0}"
cheese food pasteurized process american vitamin d fortified,16.86,25.63,8.56,330.0,"{""proteins"": 16.86, ""fats"": 25.63, ""carbohydrates"": 8.56, ""calories"": 330.0}"
cheese food pasteurized process swiss,21.92,24.14,4.5,323.0,"{""proteins"": 21.92, ""fats"": 24.14, ""carbohydrates"": 4.5, ""calories"": 323.0}"
cheese spread pasteurized process american,16.41,21.23,8.73,290.0,"{""proteins"": 16.41, ""fats"": 21.23, ""carbohydrates"": 8.73, ""calories"": 290.0}"
cream fluid half and half,3.13,10.39,4.73,123.0,"{""proteins"": 3.13, ""fats"": 10.39, ""carbohydrates"": 4.73, ""calories"": 123.0}"
cream fluid light (coffee cream or table cream),2.96,19.1,2.82,191.0,"{""proteins"": 2.96, ""fats"": 19.1, ""carbohydrates"": 2.82, ""calories"": 191.0}"
cream fluid light whipping,2.17,30.91,2.96,292.0,"{""proteins"": 2.17, ""fats"": 30.91, ""carbohydrates"": 2.96, ""calories"": 292.0}"
cream fluid heavy whipping,2.84,36.08,2.74,340.0,"{""proteins"": 2.84, ""fats"": 36.08, ""carbohydrates"": 2.74, ""calories"": 340.0}"
cream whipped cream topping pressurized,3.2,22.22,12.49,257.0,"{""proteins"": 3.2, ""fats"": 22.22, ""carbohydrates"": 12.49, ""calories"": 257.0}"
cream sour reduced fat cultured,2.94,12.0,4.26,135.0,"{""proteins"": 2.94, ""fats"": 12.0, ""carbohydrates"": 4.26, ""calories"": 135.0}"
cream sour cultured,2.44,19.35,4.63,198.0,"{""proteins"": 2.44, ""fats"": 19.35, ""carbohydrates"": 4.63, ""calories"": 198.0}"
eggnog,4.55,4.19,8.05,88.0,"{""proteins"": 4.55, ""fats"": 4.19, ""carbohydrates"": 8.05, ""calories"": 88.0}"
sour dressing non-butterfat cultured filled cream-type,3.25,16.57,4.68,178.0,"{""proteins"": 3.25, ""fats"": 16.57, ""carbohydrates"": 4.68, ""calories"": 178.0}"
